Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Success_Luồng Thuận,Chrome 119.0.0.0,,,2023-11-23 15:37:28,2023-11-23 15:38:25,57.166s,PASSED
,,,,,,,
Test Cases/TCs_Luồng cấp mới/TCs_Nhập dữ liệu_Thông tin hồ sơ/TCs_Nhập dữ liệu_Thông tin hồ sơ_Thông tin KH và NLQ,Chrome 119.0.0.0,,,2023-11-23 15:37:28,2023-11-23 15:38:25,57.044s,PASSED
"callTestCase(findTestCase(""TCs_Luồng cấp mới/TCs_Nhập dữ liệu_Thông tin hồ sơ/TCs_Nhập dữ liệu_Thông tin hồ sơ_Thông tin khởi tạo""), [""MaDoiTac_Valid"":""000123""], STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-23 15:37:28,2023-11-23 15:37:57,28.527s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Các action xử lý/tab_Thông tin hồ sơ_Thông tin KH và NLQ""))",Chrome 119.0.0.0,,,2023-11-23 15:37:57,2023-11-23 15:37:58,0.968s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/droplist_TT pháp lý KH_Trình độ học vấn""))",Chrome 119.0.0.0,,,2023-11-23 15:37:58,2023-11-23 15:37:58,0.334s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/droplistItem_TT pháp lý KH_Đại học""))",Chrome 119.0.0.0,,,2023-11-23 15:37:58,2023-11-23 15:37:59,0.570s,PASSED
"scrollToElement(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/table_TT pháp lý khách hàng_TT địa chỉ""), 120)",Chrome 119.0.0.0,,,2023-11-23 15:37:59,2023-11-23 15:37:59,0.561s,PASSED
Thread.sleep(2000),Chrome 119.0.0.0,,,2023-11-23 15:37:59,2023-11-23 15:38:01,2.010s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/droplist_TT pháp lý KH_TT địa chỉ 2_Tỉnh hoặc Thành phố""))",Chrome 119.0.0.0,,,2023-11-23 15:38:01,2023-11-23 15:38:02,0.385s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/droplistItem_TT pháp lý KH_TT địa chỉ_TP HN""))",Chrome 119.0.0.0,,,2023-11-23 15:38:02,2023-11-23 15:38:02,0.524s,PASSED
